CellID,Length,Synapses,Density,Degree,Weighted_Degree
2246861609,862.4541928,365,0.423210882441199,116,191
604031203,1185.665404,479,0.403992558426711,143,399
947513805,974.8942752,416,0.42671293757947,92,220
1812363713,1011.7939976,726,0.717537366027165,158,545
5813033784,790.8626064,153,0.193459646165918,15,17
922988906,928.687648,325,0.349956199697403,138,204
764399773,957.5939432,224,0.233919608191607,131,271
5812983840,818.559012,495,0.604721214650802,84,240
1230190149,1103.9129128,667,0.604214329106994,155,372
295814630,940.610576,222,0.236016908234296,62,140
1621357756,1102.2109288,1640,1.4879184710911,173,742
642680969,1168.477136,963,0.824149630600902,152,748
5813022469,1106.3831728,425,0.384134548001506,137,289
768301292,1052.5293936,464,0.440842795290463,132,291
484402369,891.8997072,308,0.345330307335704,94,165
508599181,1172.3068384,1167,0.995473166046491,344,906
1261760366,1039.6918656,1122,1.07916589243728,98,848
5813078176,987.0638112,276,0.279617180640489,142,362
1224078043,983.6402648,235,0.238908479461017,67,152
1691298247,1061.6641792,606,0.570801965322633,71,120
1409627117,921.6179424,368,0.399297781726868,82,188
1195658585,689.2333304,233,0.33805677950133,55,151
731192952,1199.3373792,831,0.692882598684872,399,1535
1131339501,1118.6489488,375,0.335225810029385,146,368
5812990995,773.8134856,170,0.219691182905898,42,71
1141678637,1126.6953208,922,0.818322383149104,307,732
1658199518,1124.4230608,757,0.673234146817847,170,405
5813055914,1142.6438744,885,0.774519533012603,248,676
1172704683,1125.6629712,949,0.843058734523647,326,765
1536068485,871.0195656,372,0.427085698980537,57,103
1132186103,856.0474488,568,0.663514622695526,94,322
508599211,1184.5418584,1175,0.991944684493557,343,898
600702483,1182.5006936,1176,0.994502587917975,357,919
731145160,1087.7423576,728,0.669276134107954,188,1152
815580911,1096.4924672,929,0.84724704253764,305,687
1173745411,1159.506692,1061,0.915044309205246,337,838
5812982832,1140.356108,958,0.840088454193644,316,748
1067880387,932.7449368,216,0.231574561788605,76,148
609052312,1162.6768736,670,0.576256408993048,256,810
816276055,1141.2946128,1099,0.962941546971613,334,853
1849683877,1226.6345296,316,0.257615444840809,91,247
1141346308,1104.8131104,954,0.863494459849958,296,678
1384017738,1146.9900928,764,0.666091193634415,210,500
5812983322,1181.3054816,945,0.799962426924541,302,806
1719569268,1091.6626128,595,0.545040191926961,127,384
5812982999,1136.9552168,1092,0.960459993379046,291,737
862270029,1048.2108448,460,0.438843007856658,59,154
1657893407,1048.4253792,204,0.194577510280858,1,1
915610423,858.4650336,560,0.652327093220818,123,425
446883390,1157.817072,1099,0.949200030451788,303,754
1630683107,1162.7435168,432,0.371535075240765,118,330
5813031567,1046.0027936,1161,1.10993967425672,189,777
632397750,1178.4531648,1136,0.96397551801967,323,862
391604407,995.2177496,372,0.37378754563965,132,275
488205572,1146.1318464,935,0.815787470644704,240,736
601712754,1115.2432408,1084,0.971985267736222,326,886
954679716,846.8186056,489,0.57745542760427,11,188
5813068272,766.7147072,233,0.303894001004498,68,180
422644053,1019.5351384,277,0.271692450379599,165,270
5813075855,1146.0014024,1104,0.963349606455944,325,820
1408612051,935.9406344,291,0.310917155751604,106,144
573065577,1148.5718248,925,0.805347980881448,147,722
675119034,1042.657884,533,0.511193564235304,195,764
1411250251,1194.5948464,495,0.414366428493911,106,440
1328505485,1177.314248,984,0.835800638335603,167,727
975457916,953.857404,449,0.470720254533979,118,295
328213594,1100.6962136,307,0.278914378196967,99,214
1254362189,911.2248128,429,0.470794905904476,109,196
