CellID,Length,Synapses,Density,Degree,Weighted_Degree
DA9,238.03624,102,0.428506,20,102
PDA,187.19249,32,0.170947,7,32
DB1,884.12774,135,0.152693,11,135
DB2,821.69244,106,0.129002,14,106
DB3,740.40217,97,0.13101,19,97
DB4,799.00002,60,0.0750939,14,60
DB5,718.82174,64,0.0890346,14,64
DB6,414.91845,41,0.0988146,8,41
DB7,290.54196,64,0.220278,18,64
AS1,160.30728,109,0.679944,13,109
AS2,147.19178,54,0.366868,12,54
AS3,170.73662,42,0.245993,9,42
AS4,193.099,56,0.290007,12,56
AS5,198.31061,38,0.191619,12,38
AS6,185.27113,38,0.205105,7,38
AS7,235.72592,46,0.195142,7,46
AS8,279.29187,52,0.186185,7,52
AS9,208.16802,40,0.192152,5,40
AS1,160.30728,41,0.255759,11,41
AS11,151.05546,64,0.423685,13,64
PDB,279.27147,16,0.0572919,4,16
DD1,193.81796,189,0.975142,25,189
DD2,228.42432,130,0.569116,19,130
DD3,332.20495,166,0.499692,17,166
DD4,479.43396,106,0.221094,11,106
DD5,337.99808,103,0.304735,10,103
DD6,337.25391,157,0.465525,22,157
VA1,96.940704,59,0.608619,10,59
VA2,148.93978,99,0.664698,15,99
VA3,222.14897,86,0.387128,15,86
VA4,242.52409,71,0.292754,12,71
VA5,255.4639,55,0.215295,11,55
VA6,302.48703,84,0.277698,13,84
VA7,286.36071,70,0.244447,11,70
VA8,280.28964,65,0.231903,13,65
VA9,250.58773,63,0.251409,15,63
VA1,96.940704,57,0.587988,15,57
VA11,97.898585,86,0.87846,16,86
VA12,103.67787,162,1.56253,25,162
VB1,344.60845,112,0.325007,25,112
VB2,360.8827,84,0.232763,14,84
VB3,346.40012,75,0.216513,9,75
VB4,369.7232,38,0.10278,12,38
VB5,395.60217,57,0.144084,5,57
VB6,377.52362,77,0.203961,11,77
VB7,375.01049,62,0.165329,12,62
VB8,341.74861,49,0.14338,9,49
VB9,270.01122,44,0.162956,6,44
VB1,344.60845,43,0.124779,5,43
VB11,159.06094,62,0.389788,9,62
VD1,147.138,85,0.577689,12,85
VD2,112.94454,138,1.22184,14,138
VD3,164.22851,155,0.943807,15,155
VD4,182.47575,113,0.61926,15,113
VD5,194.23743,99,0.509685,16,99
VD6,200.71587,126,0.627753,16,126
VD7,210.07208,118,0.561712,12,118
VD8,261.14615,73,0.279537,10,73
VD9,194.2036,78,0.40164,11,78
VD1,147.138,51,0.346613,9,51
VD11,168.72078,84,0.497864,15,84
VD12,178.75457,118,0.660123,18,118
VD13,117.29764,82,0.699076,17,82
HSNL,453.41241,126,0.277893,28,126
HSNR,454.975,121,0.265949,46,121
VC1,389.51077,67,0.172011,17,67
VC2,358.839,72,0.200647,20,72
VC3,433.03498,84,0.19398,25,84
VC4,41.084785,10,0.243399,5,10
VC5,41.377427,41,0.990878,9,41
VC6,128.50464,35,0.272364,6,35
